Ano de Exercício;Unidade Orçamentária - Código;Unidade Orçamentária - Sigla;Classificação Receita - Formatado;Classificação Receita - Descrição;Fonte Recurso - Código;Fonte Recurso - Descrição;Valor Previsto Inicial;Valor Efetivado Ajustado
2025;1011;ALMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;14.089.293,96
2025;1011;ALMG;1361.01.1.1.01.000;CESSAO DIR. OPERAC. PAG. - PODERES EXECUTIVO LEGISLATIVO - PRINC. - FOLHA DE PESSOAL;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;198.551,85
2025;1011;ALMG;1922.99.0.1.99.000;OUTRAS RESTITUICOES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;280.744,80
2025;1011;ALMG;1999.99.2.1.99.000;OUTRAS REC. - PRIMARIAS - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;157.394,97
2025;1021;TCEMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;7.047.042,79
2025;1021;TCEMG;1922.06.3.1.99.000;RESTITUICAO DESPESAS PRIMARIAS EXERCICIOS ANTERIORES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;159.795,02
2025;1031;TJMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;27.334.635,73
2025;1031;TJMG;1922.99.0.1.99.000;OUTRAS RESTITUICOES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;273.670,87
2025;1031;TJMG;1999.99.2.1.99.000;OUTRAS REC. - PRIMARIAS - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;1.480,68
2025;1051;TJMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;450.705,01
